BARCODE,,RSP,,,DIVISION,DEPARTMENT,,,,CAT1,CAT4,CAT2,CAT3,CAT5,CAT6,SALE QTY,NETAMT
8903724396744,,599,,,Ladies,Sweater,,,,FS0730,1,INNERS,S/L,FREE SIZE,AW12,1,599
8903724539837,,799,,,Ladies,Sweater,,,,FS2004,1,SOLIDS,F/S, XL/42,RAW13,1,399.5
8903724547900,,799,,,Ladies,Tshirt,,,,FSH2001,2,SPORT-PLAIN,H/S,   M/39,AW14,1,519.35
8903724547917,,799,,,Ladies,Tshirt,,,,FSH2001,2,SPORT-PLAIN,H/S,  L/40,AW14,1,799
8903724547931,,799,,,Ladies,Tshirt,,,,FSH2001,2,SPORT-PLAIN,H/S,    S/38,AW14,1,0
8903724548174,,799,,,Ladies,Tshirt,,,,FSH2002,3,SPORT-PLAIN,H/S,    S/38,AW14,1,799
8903724548181,,799,,,Ladies,Tshirt,,,,FSH2002,4,SPORT-PLAIN,H/S,   M/39,AW14,2,1398.25
8903724548198,,799,,,Ladies,Tshirt,,,,FSH2002,4,SPORT-PLAIN,H/S,  L/40,AW14,2,799
8903724548204,,799,,,Ladies,Tshirt,,,,FSH2002,4,SPORT-PLAIN,H/S, XL/42,AW14,1,479.4
8903724548211,,799,,,Ladies,Tshirt,,,,FSH2002,4,SPORT-PLAIN,H/S,    S/38,AW14,1,799
